number,value,datetime_start,datetime_complete,duration,params_bagging_temperature,params_border_count,params_depth,params_iterations,params_l2_leaf_reg,params_learning_rate,params_od_type,params_od_wait,params_random_strength,state
83,0.4576462696774857,2024-12-05 15:55:54.738227,2024-12-05 16:01:52.742434,0 days 00:05:58.004207,0.15302970142603312,116,8,470,0.045037121023552895,0.11924476144148816,IncToDec,24,1.2434330916432584e-09,COMPLETE
81,0.45815492643878286,2024-12-05 15:54:49.407092,2024-12-05 16:00:43.028875,0 days 00:05:53.621783,0.16632732976962114,55,8,424,0.04156624579553589,0.12185076150148776,IncToDec,23,1.1630496842487452e-09,COMPLETE
80,0.4605341731033213,2024-12-05 15:54:46.190171,2024-12-05 16:00:41.291405,0 days 00:05:55.101234,0.018428275422684128,118,7,432,0.04240446519458182,0.12544594575254325,IncToDec,23,8.536208999260984e-09,COMPLETE
93,0.4645282400387888,2024-12-05 16:12:47.336209,2024-12-05 16:18:23.627377,0 days 00:05:36.291168,0.06926875548843894,55,8,480,0.21815474486375647,0.03671048897015519,IncToDec,26,1.5775023314875297e-09,COMPLETE
42,0.46957822744625793,2024-12-05 15:11:25.519878,2024-12-05 15:15:34.764865,0 days 00:04:09.244987,5.871200998091267e-05,118,6,134,0.009565782292810474,0.014627541791557128,IncToDec,16,2.6102568424298212e-08,COMPLETE
43,0.46957822744625793,2024-12-05 15:11:26.553106,2024-12-05 15:15:32.931451,0 days 00:04:06.378345,0.0010955517955684375,122,6,202,0.0086240908316401,0.4938419281806698,IncToDec,12,1.646631830891654e-08,COMPLETE
77,0.47248441140169106,2024-12-05 15:48:59.861680,2024-12-05 15:54:46.156457,0 days 00:05:46.294777,0.0003716703225972134,123,8,457,0.004293312328896582,0.20847703006734766,IncToDec,20,2.5345609464482947e-07,COMPLETE
88,0.47393656458288724,2024-12-05 16:07:00.268617,2024-12-05 16:12:44.292717,0 days 00:05:44.024100,0.4027966403748856,44,8,384,0.1030855921376688,0.22849477748280927,IncToDec,26,4.85037167689913e-09,COMPLETE
89,0.47393656458288724,2024-12-05 16:07:01.229573,2024-12-05 16:12:47.321944,0 days 00:05:46.092371,0.3873435143724608,44,8,456,0.1005278706583151,0.2299152543787122,IncToDec,24,4.323693385653831e-09,COMPLETE
78,0.47404732423555523,2024-12-05 15:50:06.648940,2024-12-05 15:55:53.277296,0 days 00:05:46.628356,0.00038829250024614636,123,8,423,0.00393233972210424,0.027856984273799592,IncToDec,20,2.988111460344154e-07,COMPLETE
