number,value,datetime_start,datetime_complete,duration,params_bagging_temperature,params_border_count,params_depth,params_iterations,params_l2_leaf_reg,params_learning_rate,params_od_wait,params_random_strength,state
16,0.47721748750634224,2024-12-07 11:50:48.627778,2024-12-07 12:01:59.844574,0 days 00:11:11.216796,6.221792685288927e-09,101,12,479,0.00025753337150367434,0.8426977745533858,25,5.833646560437732e-18,COMPLETE
22,0.48035294377887156,2024-12-07 12:09:50.434387,2024-12-07 12:37:54.165245,0 days 00:28:03.730858,1.7338832338435778e-09,160,13,521,0.00036434443812966515,0.3738280061594787,24,4.756247259975648e-18,COMPLETE
24,0.4803679289929195,2024-12-07 12:31:39.346639,2024-12-07 12:42:35.115688,0 days 00:10:55.769049,3.3300392874889736e-08,81,11,515,0.00017013236002513,0.4361597884069948,24,4.563588244008815e-19,COMPLETE
5,0.4827821887114335,2024-12-07 10:50:19.318051,2024-12-07 11:05:31.167014,0 days 00:15:11.848963,3.3865196198320863e-07,145,10,419,0.00018538110180098022,0.04186775310183666,22,1.7340009051171302e-16,COMPLETE
25,0.48486671710773377,2024-12-07 12:33:54.394601,2024-12-07 12:43:48.202635,0 days 00:09:53.808034,4.1768793256038974e-08,92,11,525,0.00020006930948469838,0.555792017231196,24,2.1647211852655336e-19,COMPLETE
23,0.4851154317497347,2024-12-07 12:21:33.035577,2024-12-07 12:41:02.346475,0 days 00:19:29.310898,1.6074005246188199e-09,134,13,514,0.00010111068443572833,0.4145246182742435,24,3.590694007674782e-19,COMPLETE
15,0.5010520331451154,2024-12-07 11:47:03.081940,2024-12-07 12:00:13.353737,0 days 00:13:10.271797,7.51816550307829e-09,97,12,476,0.005136318484127377,0.9399625456288225,25,6.5120430933724e-16,COMPLETE
11,0.502064308354895,2024-12-07 11:26:09.004996,2024-12-07 11:47:03.070137,0 days 00:20:54.065141,1.3240228606722442e-08,118,11,560,0.0015984307729399916,0.11007640729465187,29,3.8431912054106015e-20,COMPLETE
8,0.5056195226614795,2024-12-07 11:05:31.182635,2024-12-07 11:26:08.994870,0 days 00:20:37.812235,5.281151166111787e-08,151,11,426,0.0014919456255574062,0.09809934628667949,21,2.4497881118595622e-20,COMPLETE
12,0.5179403701585856,2024-12-07 11:26:21.555844,2024-12-07 11:50:48.617238,0 days 00:24:27.061394,1.927319422167537e-10,150,14,544,0.006099333378200964,0.02022035780268807,21,4.577415974672302e-16,COMPLETE
6,0.5311080900763697,2024-12-07 10:54:55.936572,2024-12-07 11:10:06.074367,0 days 00:15:10.137795,8.383147717861939e-10,85,10,450,0.0007725065575504679,0.709432031913981,27,6.34741697371975e-19,COMPLETE
14,0.5361815310397631,2024-12-07 11:43:20.743300,2024-12-07 11:57:31.329575,0 days 00:14:10.586275,1.04766709162723e-08,101,12,472,0.004270284462975821,0.9326995893673892,29,5.626332684057286e-16,COMPLETE
9,0.5379611175832559,2024-12-07 11:05:45.682017,2024-12-07 11:26:21.543060,0 days 00:20:35.861043,1.8885200773938687e-10,117,11,441,0.0005605485987046671,0.010879253898969855,26,2.6270315706801765e-17,COMPLETE
13,0.5433395388473958,2024-12-07 11:34:42.739928,2024-12-07 11:52:50.051676,0 days 00:18:07.311748,8.685463727175325e-09,103,13,484,0.006026460266792397,0.6811648341964816,24,1.0892653932915288e-20,COMPLETE
