number,value,datetime_start,datetime_complete,duration,params_bagging_temperature,params_border_count,params_depth,params_iterations,params_l2_leaf_reg,params_learning_rate,params_od_wait,params_random_strength,state
32,0.42271545431344837,2024-12-06 18:56:22.227200,2024-12-06 19:09:56.214148,0 days 00:13:33.986948,1.0380968909657539e-07,114,11,474,0.002504238028219647,0.39467553777901526,28,1.0058647288487285e-13,COMPLETE
31,0.42319389414403663,2024-12-06 18:55:50.968766,2024-12-06 19:08:54.327481,0 days 00:13:03.358715,8.476727711728302e-08,80,11,471,0.002367150499574782,0.3688034000918909,29,3.751792171916947e-15,COMPLETE
29,0.42498740229487675,2024-12-06 18:48:32.942546,2024-12-06 19:03:16.780503,0 days 00:14:43.837957,9.262657917217827e-08,82,12,476,0.0028345804338690338,0.1702760158803082,24,2.4224327170146586e-15,COMPLETE
30,0.42904507896676247,2024-12-06 18:49:40.318566,2024-12-06 19:04:39.379165,0 days 00:14:59.060599,7.86105382737142e-08,81,12,471,0.0038732219491757662,0.37486398099342066,24,4.147331923154567e-15,COMPLETE
0,0.43267388563855985,2024-12-06 17:44:31.383186,2024-12-06 18:01:17.509037,0 days 00:16:46.125851,0.00306198811491469,142,7,573,0.016073543560656996,0.02785968982854388,31,5.636621206635282e-14,COMPLETE
5,0.43772359900025626,2024-12-06 18:02:30.923157,2024-12-06 18:12:45.680650,0 days 00:10:14.757493,0.4510976930644074,99,7,454,0.020487450463983575,0.24385222883344843,34,1.8445397679283905e-11,COMPLETE
22,0.44220774722384554,2024-12-06 18:25:43.160986,2024-12-06 18:37:44.499123,0 days 00:12:01.338137,0.012481110391944886,33,7,551,0.49221531117726786,0.04825239689551761,22,2.299565208596052e-10,COMPLETE
4,0.4513304037180033,2024-12-06 18:01:17.517111,2024-12-06 18:11:46.052798,0 days 00:10:28.535687,0.028199305413124313,145,9,548,0.8343492041018464,0.03592454876314747,32,2.064564008491385e-09,COMPLETE
21,0.45213336289008177,2024-12-06 18:24:55.133691,2024-12-06 18:31:59.336896,0 days 00:07:04.203205,0.015627380574029966,33,7,559,0.3355880676554259,0.05422872104072244,28,1.0996438915204457e-14,COMPLETE
15,0.4588316210796,2024-12-06 18:19:12.225183,2024-12-06 18:22:35.855923,0 days 00:03:23.630740,1.190100764419685e-06,66,6,532,0.10397596712316581,0.8037494976229882,18,9.68281934714414e-13,COMPLETE
16,0.4598884923636458,2024-12-06 18:19:52.942072,2024-12-06 18:23:17.378821,0 days 00:03:24.436749,1.1621193541706549e-06,66,6,541,0.09952853646233427,0.9776143088312172,18,5.874616775921857e-13,COMPLETE
13,0.4719090341739304,2024-12-06 18:17:35.577081,2024-12-06 18:21:12.926690,0 days 00:03:37.349609,0.7290071162744616,68,6,599,0.0010020876622656265,0.08607369917182203,15,8.21386964937871e-09,COMPLETE
18,0.47419040736187706,2024-12-06 18:21:53.855561,2024-12-06 18:25:43.147590,0 days 00:03:49.292029,8.109143265579035e-07,63,6,534,0.06884233005158735,0.5644500541900822,19,3.750624487963374e-13,COMPLETE
17,0.47440957761729247,2024-12-06 18:21:12.950685,2024-12-06 18:24:55.133691,0 days 00:03:42.183006,1.2480748469361878e-06,66,6,535,0.07411604634385058,0.6712851801661328,19,4.524920217670317e-13,COMPLETE
14,0.4746071969604704,2024-12-06 18:18:44.893265,2024-12-06 18:21:53.839974,0 days 00:03:08.946709,1.0786738630207848e-06,67,6,537,0.0011064290380858688,0.06604511196088235,18,5.232223489886395e-09,COMPLETE
6,0.47490049397014455,2024-12-06 18:02:39.809471,2024-12-06 18:14:51.219994,0 days 00:12:11.410523,1.2489881679236662e-05,97,11,512,0.005484066608929366,0.018693666721143802,32,1.4480866540732663e-14,COMPLETE
7,0.4927938408025699,2024-12-06 18:03:28.151741,2024-12-06 18:14:51.403781,0 days 00:11:23.252040,9.977488807037941e-08,138,11,577,0.007990436570417049,0.3705873017657537,16,1.7638643438936818e-10,COMPLETE
20,0.5010852253545001,2024-12-06 18:23:17.388913,2024-12-06 18:27:11.999370,0 days 00:03:54.610457,0.018708402665175337,36,7,555,0.04527385353598465,0.04054850582967858,21,1.231661992368678e-14,COMPLETE
19,0.501555672750462,2024-12-06 18:22:35.909245,2024-12-06 18:26:29.625082,0 days 00:03:53.715837,0.0070189275382191215,33,7,554,0.07441671385775311,0.04591874959196279,20,1.803195717969831e-10,COMPLETE
10,0.5133332474017379,2024-12-06 18:14:51.219994,2024-12-06 18:19:12.204555,0 days 00:04:20.984561,2.6572597458778352e-05,138,9,484,0.0011693378996172784,0.10090157555844106,26,2.2944917053327442e-10,COMPLETE
12,0.5223301476178903,2024-12-06 18:15:54.837983,2024-12-06 18:19:52.927906,0 days 00:03:58.089923,0.8801855842663466,96,8,510,0.007813057360841034,0.01393111464452685,23,4.2941693171738924e-12,COMPLETE
8,0.5291868926187288,2024-12-06 18:11:46.054832,2024-12-06 18:15:54.818531,0 days 00:04:08.763699,1.7506828187223656e-05,43,8,567,0.17234689245161403,0.2638976168928578,34,2.17849755116166e-13,COMPLETE
11,0.5942051265420447,2024-12-06 18:14:51.411873,2024-12-06 18:18:44.892245,0 days 00:03:53.480372,0.0006813917397366678,40,8,461,0.0018131226254387393,0.011372821577148575,23,1.3182890265327235e-11,COMPLETE
9,0.6081577307694627,2024-12-06 18:12:45.690832,2024-12-06 18:17:35.566986,0 days 00:04:49.876154,0.00038306804812684086,53,9,501,0.04127254027708341,0.01251937656179239,26,1.180518531595189e-15,COMPLETE
