id;starttime;endtime;description;type;subtype;street;polyline;direction
20241119T213641_5454_1691;2024-11-19T21:36:41+01:00;2024-11-20T06:00:00+01:00;Fermeture BPI Gentilly-RN13;ROAD_CLOSED;ROAD_CLOSED_CONSTRUCTION;PI_A13;48.8492112445735529 2.2526615667493664 48.8499477885557241 2.2523604604823850 48.8510319766658156 2.2521996303755838;ONE_DIRECTION
20241025T132736_1044_443;2024-10-25T13:27:36+01:00;2024-12-20T18:00:00+01:00;STV - Bd_Victor Aménagement de la voirie;CONSTRUCTION;;Bd_Lefebvre;48.8320447556110224 2.2900524562209128 48.8327670935763010 2.2884215697166312;ONE_DIRECTION
20241105T184835_1795_49;2024-11-05T18:48:35+01:00;2024-12-06T06:00:00+01:00;Bretelle_9_accès_Pte_Chapelle Fermeture Travaux;ROAD_CLOSED;ROAD_CLOSED_CONSTRUCTION;Bretelle_9_acces_Pte_Chapelle;48.9005425010515467 2.3579439028426821 48.9002390521119281 2.3584117166686194 48.8999225673824967 2.3587311798596473 48.8996134432419041 2.3589020573554960 48.8989694670443527 2.3590089897906226;ONE_DIRECTION
20241119T213641_6140_3733;2024-11-19T21:36:41+01:00;2024-11-20T06:00:00+01:00;Fermeture BPI Gentilly-RN13;ROAD_CLOSED;ROAD_CLOSED_CONSTRUCTION;SI_Quai_Issy_bretelle_1;48.8353691954935485 2.2719068612284055 48.8355053429113397 2.2714858741652932;ONE_DIRECTION
20241119T213641_6375_3369;2024-11-19T21:36:41+01:00;2024-11-20T06:00:00+01:00;Fermeture BPI Gentilly-RN13;ROAD_CLOSED;ROAD_CLOSED_CONSTRUCTION;AI_Lafont;48.8379382328274332 2.2549843868121182 48.8381840619148164 2.2546614296019127;ONE_DIRECTION
20241119T213649_5512_52;2024-11-19T21:36:49+01:00;2024-11-20T06:00:00+01:00;Fermeture A13 sens Paris Provi.;ROAD_CLOSED;ROAD_CLOSED_CONSTRUCTION;SI_A13_bretelle_6;48.8468826698989531 2.2547719072647778 48.8475166730557007 2.2544431493756836 48.8481902532886281 2.2538586328789694 48.8486365505164457 2.2534627994487098;ONE_DIRECTION
20240916T080004_6688_1419;2024-09-16T08:00:04+01:00;2024-11-29T18:00:00+01:00;Maitre d'ouvrage Enedis. Entretien du réseau, travaux HTA sur réseau.;CONSTRUCTION;;Ernest_Renan;48.8320600939134550 2.2807504385660122 48.8331639547087590 2.2823286422046909;ONE_DIRECTION
20241119T213641_5456_35;2024-11-19T21:36:41+01:00;2024-11-20T06:00:00+01:00;Fermeture BPI Gentilly-RN13;ROAD_CLOSED;ROAD_CLOSED_CONSTRUCTION;PI_Lac_Superieur;48.8541331015555613 2.2543410230983389 48.8577767163822116 2.2595195177162708;ONE_DIRECTION
20240916T084539_488_3518;2024-09-16T08:45:39+01:00;2025-01-30T18:00:00+01:00;CPCU - Quai Saint-Bernard. Création ou dévoiement de réseau.;CONSTRUCTION;;Quai_St_Bernard;48.8493599352189136 2.3564481808338473 48.8492714884376653 2.3569776751349272 48.8491545207023918 2.3573782228825548 48.8478818883064037 2.3592786835098312;ONE_DIRECTION
20241119T213641_5202_340;2024-11-19T21:36:41+01:00;2024-11-20T06:00:00+01:00;Fermeture BPI Gentilly-RN13;ROAD_CLOSED;ROAD_CLOSED_CONSTRUCTION;PI_Louis_Vicat;48.8260427547334217 2.2990199920357761 48.8266427801145255 2.2962931833101288;ONE_DIRECTION
